3
time=1, process_id=1, action=admit
time=1, process_id=1, action=dispatch
time=4, process_id=2, action=admit
time=5, process_id=3, action=admit
time=6, process_id=1, action=io_request
time=6, process_id=1, action=io_givento
time=6, process_id=3, action=dispatch
time=7, process_id=1, action=io_complete
time=7, process_id=3, action=preept
time=7, process_id=1, action=dispatch
time=8, process_id=1, action=terminate
time=8, process_id=3, action=dispatch
time=14, process_id=3, action=io_request
time=14, process_id=3, action=io_givento
time=14, process_id=2, action=dispatch
time=15, process_id=3, action=io_complete
time=15, process_id=2, action=preept
time=15, process_id=3, action=dispatch
time=18, process_id=3, action=terminate
time=18, process_id=2, action=dispatch
time=25, process_id=2, action=io_request
time=25, process_id=2, action=io_givento
time=32, process_id=2, action=io_complete
time=32, process_id=2, action=dispatch
time=33, process_id=2, action=terminate
